candidate_id,source_a,raw_name_a,source_b,raw_name_b,sport,league,country,confidence,reason,sample_event_count,example_events,suggested_alias_key,risk_flags,human_decision,reviewer_notes
AC-0002,oddsportal,Gigantes San Francisco,pinnacle_basketball,Indios de San Francisco de Macoris,basketball,LNB,Dominican Republic,0.6935,single_side_nearmiss,1,Heroes de Moca vs Gigantes San Francisco @ 2026-06-28T22:00:00+00:00,Indios de San Francisco de Macoris,weak_similarity|known_false_pattern,,"needs-more-evidence 2026-07-03: H/A inversion on 06-28 fixture is a wrong-fixture symptom; two SFM franchises exist historically. Require authoritative roster/schedule source. Re-export next batch. [operator-delegated AI review 2026-07-03, escalation round]"
AC-0014,oddsportal,Gremio Juventus,pinnacle_soccer,Juventus SC,soccer,Catarinense 2,Brazil,0.4611,single_side_nearmiss,1,Blumenau vs Gremio Juventus @ 2026-07-01T18:00:00+00:00,Juventus SC,weak_similarity|city_club_ambiguity|known_false_pattern,reject,"REVERSED during apply (2026-07-03): dry-run patch revealed normalize_name('Juventus SC') strips the 'sc' club-form token to bare 'juventus', colliding with the existing 'Juventus FC' (Turin) canonical — the tool appended 'Gremio Juventus' under Juventus Turin. Wrong-game unsafe as a global seed alias regardless of fixture evidence (2 exact Catarinense-2 co-occurrences stand). Same class as AC-0073 Racing: needs league/country-scoped aliasing (matcher tech-debt). Golden _NOT_ADDED entry kept. [operator-delegated AI review 2026-07-03, escalation round]"
AC-0015,oddsportal,A. Salzburg,pinnacle_soccer,Austria Salzburg,soccer,Club Friendly,World,0.7825,both_sides_near,1,A. Salzburg vs Tirol @ 2026-07-01T16:30:00+00:00,Austria Salzburg,weak_similarity,,"needs-more-evidence 2026-07-03: still 1 fixture and the only opponent (Tirol/WSG Tirol) is itself an unvetted near-pair (evidence circularity). Austrian season restart will produce clean co-occurrences. Re-export next batch. [operator-delegated AI review 2026-07-03, escalation round]"
AC-0017,oddsportal,Annan,pinnacle_soccer,Annan Athletic,soccer,Club Friendly,World,0.8714,single_side_nearmiss,1,Gretna 2008 vs Annan @ 2026-06-30T18:45:00+00:00,Annan Athletic,weak_similarity|city_club_ambiguity|known_false_pattern,approve,"2 exact co-occurrences (Johnstone Burgh 06-23, Gretna 2008 06-30). Token-class exception: 'Annan' has exactly one senior club (Annan Athletic FC, Scottish L2); no competing 'Annan <other>' exists in either namespace, so the bare-vs-Athletic trap does not apply. [operator-delegated AI review 2026-07-03, escalation round]"
AC-0021,oddsportal,Din. Zagreb,pinnacle_soccer,Dinamo Zagreb,soccer,Club Friendly,World,0.9112,both_sides_near,6,Grosuplje vs Din. Zagreb @ 2026-07-02T16:30:00+00:00,Dinamo Zagreb,,approve,"Operator 1-fixture exception: 'Din.' -> 'Dinamo' benign abbreviation with exactly one plausible world-football expansion; Grosuplje 07-02 exact co-occurrence; high anchoring value (Dinamo Zagreb European/league fixtures). [operator-delegated AI review 2026-07-03, escalation round]"
AC-0023,oddsportal,Grasshoppers,pinnacle_soccer,Grasshopper Club Zurich,soccer,Club Friendly,World,0.9056,single_side_nearmiss,4,Cham vs Grasshoppers @ 2026-07-01T16:30:00+00:00,Grasshopper Club Zurich,,approve,"Operator 1-fixture exception: unique club worldwide (Grasshopper Club Zurich), benign short form; Cham 07-01 exact co-occurrence. [operator-delegated AI review 2026-07-03, escalation round]"
AC-0027,oddsportal,Plzen,pinnacle_soccer,Viktoria Plzen,soccer,Club Friendly,World,0.0000,both_sides_near,2,Plzen vs Trnava @ 2026-07-01T15:00:00+00:00,Viktoria Plzen,weak_similarity|city_club_ambiguity,,"needs-more-evidence 2026-07-03: bare city name (generic-base class) + single opponent itself a known-false-flagged pair (AC-0034). Wait for a league fixture with a vetted opponent. Re-export next batch. [operator-delegated AI review 2026-07-03, escalation round]"
AC-0028,oddsportal,Queen's Park,pinnacle_soccer,Queens Park,soccer,Club Friendly,World,0.9652,single_side_nearmiss,2,Clyde vs Queen's Park @ 2026-06-30T18:45:00+00:00,Queens Park,,approve,"Operator 1-fixture exception: apostrophe-only difference (normalize_name maps apostrophe to a space, yielding 'queen s park' vs 'queens park' — checked 2026-07-03, alias is the correct fix, not normalization change). Collision candidates (Queens Park Rangers) never appear in this bare form. Clyde 06-30 fixture, both orientations. [operator-delegated AI review 2026-07-03, escalation round]"
AC-0030,oddsportal,Sabah Baku,pinnacle_soccer,Sabah FK,soccer,Club Friendly,World,0.9000,single_side_nearmiss,1,Polissya Zhytomyr vs Sabah Baku @ 2026-07-02T15:00:00+00:00,Sabah FK,city_club_ambiguity,reject,"Archive canonical 'Sabah FK' spans two real teams (Azerbaijani club + Malaysia President Cup U20 side). More fixtures cannot fix a two-team canonical; fix is archive-side split/dedupe, not an alias. [operator-delegated AI review 2026-07-03, escalation round]"
AC-0045,oddsportal,Benjamin Aceval,pinnacle_soccer,Club Doctor Benjamín Aceval,soccer,Division Intermedia,Paraguay,0.7717,single_side_nearmiss,1,Independiente FBC vs Benjamin Aceval @ 2026-06-30T21:00:00+00:00,Club Doctor Benjamín Aceval,weak_similarity|city_club_ambiguity,,"needs-more-evidence 2026-07-03: still 1 fixture; Division Intermedia plays weekly so the 2nd accrues within days — no reason to spend an exception. Re-export next batch. [operator-delegated AI review 2026-07-03, escalation round]"
AC-0053,oddsportal,Minnesota 2,pinnacle_soccer,Minnesota United II,soccer,MLS Next Pro,USA,0.8653,single_side_nearmiss,1,Los Angeles FC 2 vs Minnesota 2 @ 2026-06-25T02:00:00+00:00,Minnesota United II,weak_similarity|same_country_common_name|known_false_pattern,approve,"Whitelisted exception to the 'united' token mandate: BOTH sides carry the reserve marker (trailing '2' = 'II' — marker sets equal, guard verified), MLS Next Pro has exactly one Minnesota entry (MNUFC2); 2 exact co-occurrences (LAFC2 06-25, Tacoma Defiance 06-29). [operator-delegated AI review 2026-07-03, escalation round]"
AC-0056,oddsportal,NE Metrostars,pinnacle_soccer,MetroStars,soccer,NPL South Australia,Australia,0.8897,both_sides_near,1,Para vs NE Metrostars @ 2026-06-27T05:30:00+00:00,MetroStars,weak_similarity|city_club_ambiguity,approve,"Meets the >=2 bar on existing rules as of 2026-07-03 refresh: Para Hills Knights 06-27 AND West Torrens Birkalla 07-04. 'NE' is a benign truncation of 'North Eastern MetroStars'; soft flags only. [operator-delegated AI review 2026-07-03, escalation round]"
