candidate_id,source_a,raw_name_a,source_b,raw_name_b,sport,league,country,confidence,reason,sample_event_count,example_events,suggested_alias_key,risk_flags,human_decision,reviewer_notes
MRQ-87366,oddsportal,EDM Elks,pinnacle_arcadia,Edmonton Elks,,,,0.9103,jw_below_accept,1,edm elks vs saskatchewan roughriders @ source_event=1632942045,Edmonton Elks,,approve,"[MRQ-87366] CFL; opponent Saskatchewan Roughriders JW 1.0, kickoff delta 0; EDM = standard CFL city code"
MRQ-65770,oddsportal,HAM Tiger Cats,pinnacle_arcadia,Hamilton Tiger-Cats,,,,0.8636,jw_below_accept,2,montreal alouettes vs ham tiger cats @ source_event=1632693066,Hamilton Tiger-Cats,weak_similarity,approve,"[MRQ-65770,MRQ-86087] CFL; 2 fixtures (v Calgary Stampeders, v Montreal Alouettes) opponent JW 1.0, delta 0"
MRQ-7633,oddsportal,Penrith P.,pinnacle_arcadia,Penrith Panthers,,,,0.9125,jw_below_accept,2,penrith p vs albury wodonga bandits @ source_event=1632188426,Penrith Panthers,,approve,"[MRQ-7633,MRQ-7632] NBL1 East; 2 rows v Albury-Wodonga Bandits opponent JW 1.0 delta 0; abbreviation of the same club name, NOT a bare-city form"
MRQ-65755,oddsportal,Atletico MG,pinnacle_arcadia,Atletico Mineiro,,,,0.9068,jw_below_accept,1,palmeiras vs atletico mg @ source_event=1632616842,Atletico Mineiro,,approve,[MRQ-65755] Serie A; v Palmeiras JW 1.0 delta 0; standard Brazilian -MG state form (settlement normalize_team parity)
MRQ-65744,oddsportal,Botafogo RJ,pinnacle_arcadia,Botafogo FR RJ,,,,0.9571,token_sort_below_accept,1,cruzeiro vs botafogo rj @ source_event=1632616841,Botafogo FR RJ,city_club_ambiguity,approve,[MRQ-65744] Serie A; v Cruzeiro JW 1.0 delta 0; Botafogo de Futebol e Regatas; -SP club has its own distinct base
MRQ-65745,oddsportal,Gremio FBPA,pinnacle_arcadia,Gremio,,,,0.9091,jw_below_accept,2,gremio fbpa vs fluminense f c @ source_event=1632615170,Gremio FBPA,city_club_ambiguity,approve,"[MRQ-65745,MRQ-73904] Serie A; 2 fixtures (v Fluminense) opponent JW 1.0 delta 0; bare 'gremio' sole user - Novorizontino/Anapolis/Prudente all carry qualifiers"
MRQ-65990,oddsportal,Cuiaba EC,pinnacle_arcadia,Cuiaba,,,,0.9333,token_sort_below_accept,1,sport do recife vs cuiaba ec @ source_event=1632715460,Cuiaba EC,city_club_ambiguity,approve,[MRQ-65990] Serie B; sole Cuiaba club in Brazil; same fixture cross-anchored by the Sport Recife pair (delta 0)
MRQ-26175,oddsportal,Goias EC,pinnacle_arcadia,Goias,,,,0.9250,token_sort_below_accept,3,crb vs goias ec @ source_event=1632351941,Goias EC,city_club_ambiguity,approve,"[MRQ-26175,MRQ-65987,MRQ-9194] Serie B; 3 fixtures (v CRB, America Mineiro, Ceara) opponent JW 1.0 delta 0; bare 'goias' sole user"
MRQ-65985,oddsportal,Sao Bernardo SP,pinnacle_arcadia,Sao Bernardo,,,,0.9600,token_sort_below_accept,2,sao bernardo sp vs ceara @ source_event=1632677017,Sao Bernardo SP,city_club_ambiguity,approve,"[MRQ-65985,MRQ-9187] Serie B; 2 fixtures (v Ceara, Vila Nova) opponent JW 1.0 delta 0; sole Sao Bernardo club"
MRQ-8144,oddsportal,Audax RJ,pinnacle_arcadia,Audax Rio,,,,0.9306,token_sort_below_accept,1,sao goncalo vs audax rj @ source_event=1632218633,Audax Rio,,approve,[MRQ-8144] Carioca 2; v Sao Goncalo JW 1.0 delta 0; RJ-specific - Gremio Audax (SP) base untouched
MRQ-1375,oddsportal,Tigres Brasil,pinnacle_arcadia,Tigres do Brasil,,,,0.9625,token_sort_below_accept,1,rio barra vs tigres brasil @ source_event=1632281639,Tigres do Brasil,city_club_ambiguity,approve,"[MRQ-1375] Carioca C; v Rio Barra JW 1.0 delta 0; EC Tigres do Brasil, unique name"
