candidate_id,source_a,raw_name_a,source_b,raw_name_b,sport,league,country,confidence,reason,sample_event_count,example_events,suggested_alias_key,risk_flags,human_decision,reviewer_notes
PIN-01,oddsportal,AGF,pinnacle_arcadia,AGF Aarhus,soccer,,,0.8370,jw_below_accept,1,agf vs lech poznan @ 2026-07-29 17:00:00+00,AGF Aarhus,weak_similarity,approve,"[PIN-01] UECL qualifying; opponent Lech Poznan EQ (canonical-equal) delta 0; bare 'AGF' sole user in warehouse — ASA Aarhus / Aarhus Fremad / Vsk Aarhus are distinct clubs that always carry qualifiers"
PIN-02,oddsportal,Ballkani,pinnacle_arcadia,KF Ballkani,soccer,,,0.8260,jw_below_accept,1,ballkani vs bohemians @ 2026-07-30 18:00:00+00,KF Ballkani,weak_similarity|city_club_ambiguity,approve,"[PIN-02] UECL qualifying v Bohemians Dublin; opponent EQ delta 0; sole Kosovan club (Suva Reka); warehouse form 'FC Ballkani' normalizes to the same bare base via fc-noise so one alias covers all three observed forms"
PIN-03,oddsportal,Crawley,pinnacle_arcadia,Crawley Town,soccer,,,0.9170,jw_below_accept,1,crawley vs york city @ 2026-08-03 18:30:00+00,Crawley Town,city_club_ambiguity,approve,"[PIN-03] League Two v York City; opponent EQ delta 0; bare 'crawley' sole soccer user in warehouse — tennis 'Crawley F.' normalizes to distinct base 'crawley f' (initial preserved, tennis-veto namespace)"
PIN-04,oddsportal,Elgin,pinnacle_arcadia,Elgin City,soccer,,,0.9000,jw_below_accept,1,elgin vs edinburgh city @ 2026-08-01 14:00:00+00,Elgin City,city_club_ambiguity,approve,"[PIN-04] Scottish League Two v Edinburgh City; opponent EQ delta 0; bare 'elgin' sole user — warehouse 'Elgin Khoeblal' is a distinct club that always carries its qualifier; explicit reviewed alias is the sanctioned bypass of the 'city' disambiguating-token veto"
PIN-05,oddsportal,FCI Tallinn,pinnacle_arcadia,Levadia Tallinn,soccer,,,0.7130,jw_below_accept,1,fci tallinn vs ifk goteborg @ 2026-07-30 16:30:00+00,Levadia Tallinn,weak_similarity,approve,"[PIN-05] UECL Q2 v IFK Goteborg; opponent EQ delta 0; SAME CLUB verified externally: UEFA/ESPN list the 2026-07-30 16:30 UTC Tallinn leg as FCI Levadia Tallinn (FC Infonet + Levadia merged 2017); low JW is exactly the reviewed-per-club-alias case; Levadia II/U19/U21 and 'Tallinna FCI Levadia III' forms carry markers and stay veto-protected"
PIN-05b,oddsportal,Levadia,pinnacle_arcadia,Levadia Tallinn,soccer,,,0.9330,token_sort_below_accept,1,levadia vs siauliai (warehouse form),Levadia Tallinn,city_club_ambiguity,approve,"[PIN-05b] Same club as PIN-05; bare 'Levadia' is an observed warehouse feed form; sole user (marker forms II/U19/U21 protected by marker veto)"
PIN-06,oddsportal,FK Shkendija 79,pinnacle_arcadia,Shkendija,soccer,,,0.9500,token_sort_below_accept,1,fk shkendija 79 vs bravo @ 2026-07-30 18:00:00+00,,golden_negative_conflict,reject,"[PIN-06] REJECT — GOLDEN NEGATIVE: ('Shkendija','Shkendija 79') sits in _NOT_ADDED (tests/test_resolution_nameform_aliases.py, 2026-08-03 review: 'bare shared across Balkan Shkendija clubs') and my alias normalizes to exactly that pair. Fixture evidence (UECL v NK Bravo, opponent EQ delta 0, Tetovo club founded 1979) is escalation-grade — overriding a day-old golden negative needs operator-delegated review, not a P3 batch"
PIN-07,oddsportal,Forfar,pinnacle_arcadia,Forfar Athletic,soccer,,,0.8800,jw_below_accept,1,forfar vs kelty hearts @ 2026-08-01 14:00:00+00,Forfar Athletic,weak_similarity|city_club_ambiguity,approve,"[PIN-07] Scottish League Two v Kelty Hearts; opponent EQ delta 0; bare 'forfar' sole senior user (Forfar West End is Junior football and always carries the qualifier)"
PIN-08,oddsportal,Helsinki,pinnacle_arcadia,HJK Helsinki,soccer,,,0.8390,jw_below_accept,1,helsinki vs coleraine @ 2026-07-30 18:45:00+00,Helsingin Jalkapalloklubi,weak_similarity|city_club_ambiguity,approve,"[PIN-08] UECL qualifying v Coleraine; opponent EQ delta 0; bare town form is this feed's convention for HJK (appends to the existing Helsingin Jalkapalloklubi group); HIFK is always listed 'HIFK' — same reasoning as the approved MRQ-6 Hafnarfjordur/FH precedent"
PIN-09,oddsportal,Klaksvik,pinnacle_arcadia,KI Klaksvik,soccer,,,0.7870,jw_below_accept,1,fk kauno zalgiris vs klaksvik @ 2026-07-29 16:00:00+00,KI Klaksvik,weak_similarity|city_club_ambiguity,approve,"[PIN-09] UECL qualifying v Kauno Zalgiris; opponent EQ delta 0 (cross-anchored by the existing FK Kauno Zalgiris alias from the 08-03 batch); KI Klaksvik sole club of the town; bare form sole user in warehouse"
PIN-10,oddsportal,Neftchi,pinnacle_arcadia,Neftchi Baku,soccer,,,0.9170,jw_below_accept,1,neftchi vs dinamo minsk @ 2026-07-30 17:00:00+00,,golden_negative_conflict,reject,"[PIN-10] REJECT — GOLDEN NEGATIVE: ('Neftchi','Neftchi Baku') was reviewed and rejected 2026-08-03 ('bare shared, Neftchi Fergana') and locked in _NOT_ADDED. My warehouse sole-user evidence (Fergona/Kochkor-Ata always qualified, UEL v Dinamo Minsk delta 0) is escalation-grade but a P3 batch does not override a golden negative"
PIN-11,oddsportal,Operario,pinnacle_arcadia,Operario Ferroviario,soccer,,,0.8800,jw_below_accept,1,atletico goianiense vs operario @ 2026-07-27 22:30:00+00,,golden_negative_conflict,reject,"[PIN-11] REJECT — GOLDEN NEGATIVE: ('Operario','Operario Ferroviario') was reviewed and rejected 2026-08-03 ('bare operario shared by -PR/-MS/-VG') and locked in _NOT_ADDED. The state-suffixed 'Operario-PR' form (PIN-11b) is unambiguous and approved instead; the bare form stays unmatched pending operator escalation"
PIN-11b,oddsportal,Operario-PR,pinnacle_arcadia,Operario Ferroviario,soccer,,,0.9000,jw_below_accept,1,operario-pr (warehouse feed form),Operario Ferroviario,,approve,"[PIN-11b] Same club as PIN-11: Operario Ferroviario Esporte Clube of Ponta Grossa PARANA — '-PR' is the standard Brazilian state suffix for this club (precedent: approved MRQ-65755 Atletico MG form)"
